insertion,best
1000,0.000007
1183,0.000009
1367,0.00001
1551,0.000012
1734,0.000012
1918,0.000014
2102,0.000015
2285,0.000016
2469,0.000018
2653,0.000019
2836,0.00002
3020,0.000022
3204,0.000028
3387,0.000024
3571,0.000026
3755,0.000027
3938,0.000028
4122,0.000029
4306,0.00003
4489,0.000032
4673,0.000033
4857,0.000034
5040,0.000036
5224,0.000037
5408,0.000038
5591,0.00004
5775,0.000041
5959,0.000042
6142,0.000043
6326,0.000045
6510,0.000046
6693,0.000047
6877,0.000049
7061,0.00005
7244,0.000051
7428,0.000053
7612,0.000054
7795,0.000055
7979,0.000056
8163,0.000058
8346,0.000059
8530,0.00006
8714,0.000062
8897,0.000063
9081,0.000064
9265,0.000065
9448,0.000067
9632,0.000068
9816,0.000069
10000,0.000071
insertion,average
1000,0.001349
1737,0.00399
2245,0.006646
2657,0.009255
3013,0.011892
3331,0.014526
3622,0.018426
3891,0.020477
4142,0.023983
4379,0.025062
4604,0.027692
4819,0.030352
5024,0.033022
5221,0.035622
5411,0.03823
5595,0.040789
5772,0.044478
5945,0.046184
6112,0.048772
6275,0.051373
6434,0.053862
6590,0.056646
6741,0.059311
6889,0.061887
7034,0.064653
7177,0.067205
7316,0.069918
7453,0.07262
7587,0.075091
7719,0.077807
7849,0.080513
7977,0.083448
8102,0.086687
8226,0.088417
8348,0.091027
8468,0.093649
8586,0.096256
8703,0.099061
8819,0.101667
8932,0.104212
9045,0.10963
9156,0.109576
9265,0.112802
9374,0.115313
9481,0.11743
9587,0.120028
9692,0.122742
9795,0.125279
9898,0.130928
10000,0.13137
insertion,worst
1000,0.002649
1737,0.007972
2245,0.013254
2657,0.018546
3013,0.024805
3331,0.029015
3622,0.034251
3891,0.039556
4142,0.044852
4379,0.05007
4604,0.055321
4819,0.060593
5024,0.066116
5221,0.071576
5411,0.076414
5595,0.081509
5772,0.086737
5945,0.092012
6112,0.097246
6275,0.102534
6434,0.10774
6590,0.114684
6741,0.119141
6889,0.125108
7034,0.129281
7177,0.13405
7316,0.13926
7453,0.144536
7587,0.14976
7719,0.155044
7849,0.160307
7977,0.165587
8102,0.170885
8226,0.176993
8348,0.181479
8468,0.18659
8586,0.191808
8703,0.197086
8819,0.203782
8932,0.208824
9045,0.214514
9156,0.22104
9265,0.22525
9374,0.229128
9481,0.235973
9587,0.239166
9692,0.244436
9795,0.251842
9898,0.255739
10000,0.262257
counting,best
1000,0.000024
1183,0.000028
1367,0.000032
1551,0.000038
1734,0.000041
1918,0.000045
2102,0.000049
2285,0.000053
2469,0.000058
2653,0.000062
2836,0.000066
3020,0.00007
3204,0.000075
3387,0.000079
3571,0.000084
3755,0.000088
3938,0.000092
4122,0.000101
4306,0.000101
4489,0.000106
4673,0.00011
4857,0.000114
5040,0.000119
5224,0.000123
5408,0.000128
5591,0.000132
5775,0.000137
5959,0.000141
6142,0.000147
6326,0.00015
6510,0.000155
6693,0.000159
6877,0.000164
7061,0.000169
7244,0.000178
7428,0.000177
7612,0.000182
7795,0.000188
7979,0.000191
8163,0.000195
8346,0.000202
8530,0.000204
8714,0.000209
8897,0.000222
9081,0.000218
9265,0.000224
9448,0.000228
9632,0.000231
9816,0.000236
10000,0.000241
counting,worst
1000,0.010519
1737,0.031793
2245,0.052906
2657,0.074003
3013,0.098711
3331,0.120503
3622,0.143023
3891,0.164886
4142,0.18681
4379,0.211107
4604,0.242799
4819,0.253516
5024,0.281631
5221,0.298414
5411,0.319554
5595,0.341575
5772,0.363952
5945,0.385475
6112,0.407954
6275,0.429725
6434,0.451712
6590,0.473673
6741,0.496004
6889,0.517301
7034,0.539835
7177,0.562643
7316,0.583798
7453,0.605922
7587,0.628335
7719,0.649728
7849,0.67248
7977,0.693612
8102,0.716044
8226,0.739536
8348,0.759771
8468,0.780863
8586,0.799989
8703,0.822042
8819,0.847806
8932,0.869734
9045,0.89183
9156,0.91211
9265,0.932019
9374,0.953247
9481,0.974866
9587,0.997257
9692,1.018489
9795,1.041139
9898,1.063858
10000,1.08578
